PositionId,statecode,county,point_latitude,point_longitude,line,construction
920232,FL,NASSAU COUNTY,30.39431,-81.93397,Residential,Wood
727659,FL,NASSAU COUNTY,30.56267,-81.830429,Residential,Wood
471817,FL,NASSAU COUNTY,30.56267,-81.830429,Residential,Wood
983043,FL,NASSAU COUNTY,30.561651,-81.830193,Residential,Wood
578286,FL,NASSAU COUNTY,30.56267,-81.830429,Residential,Wood
347276,FL,NASSAU COUNTY,30.56106,-81.82632,Residential,Wood
477786,FL,NASSAU COUNTY,30.5579,-81.8249,Commercial,Reinforced Masonry
265907,FL,NASSAU COUNTY,30.56106,-81.82632,Residential,Wood
107560,FL,NASSAU COUNTY,30.56106,-81.82632,Residential,Masonry
908183,FL,NASSAU COUNTY,30.57185,-81.82383,Residential,Wood
356024,FL,NASSAU COUNTY,30.562835,-81.826525,Residential,Wood
575299,FL,NASSAU COUNTY,30.567566,-81.826584,Residential,Wood
790478,FL,NASSAU COUNTY,30.60895,-81.83645,Residential,Wood
801776,FL,NASSAU COUNTY,30.59925,-81.81973,Residential,Wood
291781,FL,NASSAU COUNTY,30.53674,-81.77496,Residential,Masonry
537286,FL,NASSAU COUNTY,30.555161,-81.825684,Residential,Masonry
289305,FL,COLUMBIA COUNTY,30.105968,-82.66227,Residential,Wood
697409,FL,COLUMBIA COUNTY,30.1018,-82.7094,Residential,Wood
633944,FL,COLUMBIA COUNTY,30.1018,-82.7094,Residential,Wood
963511,FL,COLUMBIA COUNTY,30.1018,-82.7094,Residential,Wood
729649,FL,COLUMBIA COUNTY,30.1653,-82.73404,Residential,Masonry
862584,FL,COLUMBIA COUNTY,30.1018,-82.7094,Residential,Wood
371891,FL,COLUMBIA COUNTY,30.17399,-82.57017,Residential,Wood
785595,FL,COLUMBIA COUNTY,30.1515,-82.6126,Residential,Wood
567696,FL,COLUMBIA COUNTY,30.16269,-82.64,Residential,Wood
219025,FL,COLUMBIA COUNTY,30.16269,-82.64,Residential,Wood
447216,FL,COLUMBIA COUNTY,30.16269,-82.64,Residential,Wood
305141,FL,COLUMBIA COUNTY,30.16269,-82.64,Residential,Wood
625575,FL,COLUMBIA COUNTY,30.16269,-82.64,Residential,Wood
262109,FL,COLUMBIA COUNTY,30.163641,-82.640976,Residential,Wood
228457,FL,COLUMBIA COUNTY,30.163641,-82.640976,Residential,Masonry
622799,FL,COLUMBIA COUNTY,30.163641,-82.640976,Residential,Wood
233271,FL,COLUMBIA COUNTY,30.163641,-82.640976,Commercial,Reinforced Masonry
932950,FL,COLUMBIA COUNTY,30.163641,-82.640976,Residential,Wood
641952,FL,COLUMBIA COUNTY,30.1515,-82.6126,Commercial,Reinforced Masonry
796260,FL,COLUMBIA COUNTY,30.1515,-82.6126,Residential,Masonry
301822,FL,COLUMBIA COUNTY,30.1515,-82.6126,Commercial,Reinforced Masonry
559927,FL,COLUMBIA COUNTY,30.1515,-82.6126,Residential,Wood
224400,FL,COLUMBIA COUNTY,30.1515,-82.6126,Residential,Masonry
123936,FL,COLUMBIA COUNTY,30.1515,-82.6126,Commercial,Reinforced Masonry
333818,FL,COLUMBIA COUNTY,30.1515,-82.6126,Residential,Masonry
254323,FL,COLUMBIA COUNTY,30.1515,-82.6126,Residential,Masonry
247444,FL,COLUMBIA COUNTY,30.1515,-82.6126,Residential,Wood
882598,FL,COLUMBIA COUNTY,30.1515,-82.6126,Residential,Masonry
386918,FL,COLUMBIA COUNTY,30.1515,-82.6126,Residential,Wood
497337,FL,COLUMBIA COUNTY,30.1515,-82.6126,Residential,Wood
526844,FL,COLUMBIA COUNTY,30.1515,-82.6126,Commercial,Reinforced Masonry
623400,FL,COLUMBIA COUNTY,30.1515,-82.6126,Residential,Wood
826170,FL,COLUMBIA COUNTY,30.185885,-82.614795,Residential,Wood
185483,FL,COLUMBIA COUNTY,30.185885,-82.614795,Residential,Wood
920003,FL,COLUMBIA COUNTY,30.185885,-82.614795,Residential,Masonry
274246,FL,COLUMBIA COUNTY,30.16649,-82.63503,Residential,Wood
423636,FL,COLUMBIA COUNTY,30.176,-82.65581,Residential,Masonry
970906,FL,COLUMBIA COUNTY,30.00777,-82.59694,Commercial,Reinforced Masonry
227898,FL,COLUMBIA COUNTY,30.17509,-82.66252,Residential,Wood
525138,FL,COLUMBIA COUNTY,30.17501,-82.66205,Residential,Wood
923627,FL,COLUMBIA COUNTY,30.174776,-82.662277,Residential,Wood
619743,FL,COLUMBIA COUNTY,30.17476,-82.66251,Residential,Wood
910727,FL,COLUMBIA COUNTY,30.1745,-82.66205,Residential,Wood
363647,FL,COLUMBIA COUNTY,30.17447,-82.66251,Residential,Wood
512519,FL,COLUMBIA COUNTY,30.17417,-82.66218,Residential,Wood
904304,FL,COLUMBIA COUNTY,30.17451,-82.66351,Residential,Wood
835349,FL,COLUMBIA COUNTY,30.17475,-82.66314,Residential,Wood
891725,FL,COLUMBIA COUNTY,30.17514,-82.66341,Residential,Wood
923503,FL,COLUMBIA COUNTY,30.17474,-82.66348,Residential,Wood
292347,FL,COLUMBIA COUNTY,30.17664,-82.66314,Residential,Wood
363828,FL,COLUMBIA COUNTY,30.17638,-82.66314,Residential,Wood
110490,FL,COLUMBIA COUNTY,30.17623,-82.66406,Residential,Wood
480733,FL,COLUMBIA COUNTY,30.17698,-82.67019,Residential,Masonry
993346,FL,COLUMBIA COUNTY,30.174486,-82.671326,Residential,Masonry
934992,FL,ST  JOHNS COUNTY,29.7917,-81.4271,Residential,Wood
645841,FL,ST  JOHNS COUNTY,29.7917,-81.4271,Residential,Masonry
747846,FL,ST  JOHNS COUNTY,29.7917,-81.4271,Residential,Wood
482457,FL,ST  JOHNS COUNTY,29.776566,-81.47171,Residential,Wood
574787,FL,ST  JOHNS COUNTY,29.776566,-81.47171,Residential,Wood
831418,FL,ST  JOHNS COUNTY,29.776566,-81.47171,Residential,Wood
968562,FL,ST  JOHNS COUNTY,29.776566,-81.47171,Residential,Wood
576324,FL,ST  JOHNS COUNTY,29.7255,-81.466309,Residential,Wood
290435,FL,ST  JOHNS COUNTY,29.7255,-81.466309,Residential,Wood
526086,FL,ST  JOHNS COUNTY,29.7255,-81.466309,Residential,Wood
119823,FL,ST  JOHNS COUNTY,29.7255,-81.466309,Residential,Wood
497414,FL,ST  JOHNS COUNTY,29.7255,-81.466309,Residential,Wood
340883,FL,ST  JOHNS COUNTY,29.7255,-81.466309,Residential,Wood
892551,FL,ST  JOHNS COUNTY,29.7255,-81.466309,Residential,Wood
670595,FL,ST  JOHNS COUNTY,29.7255,-81.466309,Residential,Wood
194101,FL,ST  JOHNS COUNTY,29.7255,-81.466309,Residential,Wood
167200,FL,ST  JOHNS COUNTY,29.7255,-81.466309,Residential,Wood
139064,FL,ST  JOHNS COUNTY,29.7255,-81.466309,Residential,Wood
846636,FL,ST  JOHNS COUNTY,29.7255,-81.466309,Residential,Wood
310177,FL,NASSAU COUNTY,30.57332,-81.45291,Residential,Wood
865452,FL,NASSAU COUNTY,30.67464,-81.46114,Residential,Wood
783429,FL,NASSAU COUNTY,30.67464,-81.46114,Residential,Wood
878060,FL,NASSAU COUNTY,30.67423,-81.46052,Residential,Wood
935342,FL,NASSAU COUNTY,30.67423,-81.46052,Residential,Wood
456376,FL,NASSAU COUNTY,30.67423,-81.46052,Residential,Wood
363001,FL,NASSAU COUNTY,30.67453,-81.46016,Residential,Wood
478864,FL,NASSAU COUNTY,30.67513,-81.44708,Residential,Masonry
600402,FL,NASSAU COUNTY,30.64687,-81.45801,Commercial,Reinforced Masonry
483983,FL,NASSAU COUNTY,30.650143,-81.454407,Residential,Masonry
991615,FL,NASSAU COUNTY,30.6202,-81.4719,Residential,Wood
644573,FL,NASSAU COUNTY,30.576765,-81.453979,Residential,Masonry
853278,FL,NASSAU COUNTY,30.576765,-81.453979,Residential,Wood
100658,FL,NASSAU COUNTY,30.6202,-81.4719,Residential,Wood
433115,FL,NASSAU COUNTY,30.576765,-81.453979,Residential,Wood
760337,FL,NASSAU COUNTY,30.61988,-81.46815,Residential,Wood
884738,FL,NASSAU COUNTY,30.576765,-81.453979,Residential,Masonry
610102,FL,NASSAU COUNTY,30.671095,-81.462097,Commercial,Reinforced Masonry
830823,FL,NASSAU COUNTY,30.67,-81.462,Residential,Masonry
618364,FL,NASSAU COUNTY,30.596535,-81.546837,Residential,Wood
712563,FL,NASSAU COUNTY,30.596535,-81.546837,Residential,Wood
493030,FL,NASSAU COUNTY,30.57326,-81.45367,Residential,Masonry
188150,FL,NASSAU COUNTY,30.65372,-81.45105,Commercial,Reinforced Masonry
589642,FL,NASSAU COUNTY,30.63945,-81.455553,Residential,Masonry
846109,FL,NASSAU COUNTY,30.570326,-81.451576,Residential,Wood
399079,FL,NASSAU COUNTY,30.5708,-81.44959,Residential,Wood
680135,FL,NASSAU COUNTY,30.5708,-81.44959,Residential,Wood
621379,FL,NASSAU COUNTY,30.571087,-81.448578,Residential,Wood
606710,FL,NASSAU COUNTY,30.570854,-81.448212,Residential,Wood
443319,FL,NASSAU COUNTY,30.571154,-81.448433,Residential,Wood
228591,FL,NASSAU COUNTY,30.5708,-81.44959,Residential,Wood
721610,FL,NASSAU COUNTY,30.571323,-81.450188,Residential,Wood
507395,FL,NASSAU COUNTY,30.570711,-81.448067,Residential,Wood
213399,FL,NASSAU COUNTY,30.571777,-81.449326,Residential,Wood
579400,FL,NASSAU COUNTY,30.5716,-81.45134,Residential,Wood
509951,FL,NASSAU COUNTY,30.57098,-81.44838,Residential,Wood
930798,FL,NASSAU COUNTY,30.571613,-81.450577,Residential,Wood
729247,FL,NASSAU COUNTY,30.5708,-81.44959,Residential,Wood
288344,FL,NASSAU COUNTY,30.5708,-81.44959,Residential,Wood
275351,FL,NASSAU COUNTY,30.57164,-81.450279,Residential,Wood
976690,FL,NASSAU COUNTY,30.571306,-81.45015,Residential,Wood
507111,FL,NASSAU COUNTY,30.571608,-81.450661,Residential,Wood
547458,FL,NASSAU COUNTY,30.571609,-81.450615,Residential,Wood
827732,FL,NASSAU COUNTY,30.571665,-81.450089,Residential,Wood
229489,FL,NASSAU COUNTY,30.571615,-81.450531,Residential,Wood
175251,FL,NASSAU COUNTY,30.571812,-81.448822,Residential,Wood
590043,FL,NASSAU COUNTY,30.571596,-81.450874,Residential,Wood
476037,FL,NASSAU COUNTY,30.5708,-81.44959,Residential,Wood
674960,FL,NASSAU COUNTY,30.57086,-81.448174,Residential,Wood
743790,FL,NASSAU COUNTY,30.570326,-81.451576,Commercial,Reinforced Masonry
817283,FL,NASSAU COUNTY,30.570221,-81.451309,Commercial,Reinforced Concrete
201980,FL,NASSAU COUNTY,30.64448,-81.45489,Residential,Wood
351505,FL,NASSAU COUNTY,30.653568,-81.449318,Residential,Wood
798806,FL,NASSAU COUNTY,30.65118,-81.44969,Residential,Masonry
153643,FL,NASSAU COUNTY,30.65118,-81.44969,Residential,Wood
683653,FL,NASSAU COUNTY,30.65118,-81.44969,Residential,Wood
475264,FL,NASSAU COUNTY,30.639568,-81.442482,Commercial,Reinforced Concrete
912944,FL,NASSAU COUNTY,30.59491,-81.539909,Residential,Masonry
945134,FL,NASSAU COUNTY,30.59491,-81.539909,Residential,Wood
219959,FL,NASSAU COUNTY,30.59491,-81.539909,Residential,Wood
793504,FL,NASSAU COUNTY,30.6119,-81.455986,Residential,Wood
450423,FL,NASSAU COUNTY,30.596535,-81.546837,Residential,Wood
505178,FL,NASSAU COUNTY,30.596535,-81.546837,Residential,Wood
408688,FL,NASSAU COUNTY,30.66665,-81.45235,Residential,Masonry
477759,FL,NASSAU COUNTY,30.657654,-81.463341,Residential,Wood
882441,FL,NASSAU COUNTY,30.65838,-81.46358,Residential,Wood
727602,FL,NASSAU COUNTY,30.617165,-81.461609,Residential,Wood
313226,FL,NASSAU COUNTY,30.617874,-81.457794,Residential,Wood
337027,FL,NASSAU COUNTY,30.663744,-81.453941,Residential,Wood
649251,FL,NASSAU COUNTY,30.67024,-81.454628,Residential,Wood
142564,FL,NASSAU COUNTY,30.61945,-81.465965,Residential,Wood
197782,FL,NASSAU COUNTY,30.610081,-81.446259,Residential,Masonry
709787,FL,NASSAU COUNTY,30.610081,-81.446259,Residential,Wood
655065,FL,NASSAU COUNTY,30.67044,-81.46572,Residential,Wood
176778,FL,NASSAU COUNTY,30.671413,-81.464905,Commercial,Reinforced Masonry
559179,FL,NASSAU COUNTY,30.65501,-81.45117,Residential,Masonry
698071,FL,NASSAU COUNTY,30.665545,-81.43205,Residential,Wood
642950,FL,NASSAU COUNTY,30.63862,-81.43702,Residential,Masonry
477240,FL,NASSAU COUNTY,30.66665,-81.45235,Residential,Wood
672348,FL,NASSAU COUNTY,30.63833,-81.44564,Residential,Wood
922844,FL,NASSAU COUNTY,30.617874,-81.457794,Residential,Wood
948580,FL,NASSAU COUNTY,30.67069,-81.458395,Residential,Wood
364552,FL,NASSAU COUNTY,30.65838,-81.46358,Residential,Wood
561601,FL,NASSAU COUNTY,30.671312,-81.46492,Residential,Masonry
584749,FL,NASSAU COUNTY,30.626793,-81.485847,Residential,Wood
601327,FL,COLUMBIA COUNTY,29.925,-82.7109,Residential,Wood
302578,FL,COLUMBIA COUNTY,29.9248,-82.71114,Residential,Wood
756585,FL,COLUMBIA COUNTY,29.90334,-82.63364,Residential,Wood
627591,FL,COLUMBIA COUNTY,29.919149,-82.639236,Residential,Wood
663563,FL,COLUMBIA COUNTY,29.9301,-82.7088,Residential,Masonry
108959,FL,COLUMBIA COUNTY,30.041415,-82.70641,Residential,Wood
951069,FL,COLUMBIA COUNTY,29.92143,-82.71411,Residential,Masonry
490641,FL,BAKER COUNTY,30.265605,-82.16215,Residential,Wood
443968,FL,BAKER COUNTY,30.27125,-82.160875,Residential,Wood
433688,FL,CLAY COUNTY,29.980408,-81.658165,Residential,Wood
168578,FL,CLAY COUNTY,30.0517,-81.82975,Residential,Masonry
294375,FL,CLAY COUNTY,30.0517,-81.82975,Residential,Wood
902110,FL,CLAY COUNTY,30.0517,-81.82975,Residential,Wood
279816,FL,CLAY COUNTY,29.98839,-81.70777,Residential,Masonry
994565,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
930535,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
844642,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
292887,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
655128,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
164038,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
163057,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
327730,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
218187,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
697530,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
619053,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
431406,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
256801,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
571398,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
239669,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
530369,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
948187,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
571059,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
470539,FL,CLAY COUNTY,29.993125,-81.67742,Residential,Wood
791046,FL,CLAY COUNTY,29.993125,-81.67742,Residential,Wood
563971,FL,CLAY COUNTY,29.993125,-81.67742,Residential,Wood
823903,FL,CLAY COUNTY,29.993125,-81.67742,Residential,Wood
812504,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
597719,FL,CLAY COUNTY,29.995916,-81.689049,Residential,Wood
716513,FL,CLAY COUNTY,30.004622,-81.683899,Residential,Wood
378286,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
698982,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
624550,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
666076,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
474145,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
572929,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
640205,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
295930,FL,CLAY COUNTY,30.0156,-81.70065,Residential,Wood
823004,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
230536,FL,CLAY COUNTY,30.004385,-81.683762,Residential,Wood
936142,FL,CLAY COUNTY,30.00421,-81.684,Residential,Wood
724639,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
119986,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
603370,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
532496,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
786954,FL,CLAY COUNTY,30.00169,-81.71087,Residential,Wood
416348,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
506364,FL,CLAY COUNTY,30.006186,-81.698914,Residential,Masonry
311994,FL,CLAY COUNTY,30.006186,-81.698914,Residential,Wood
807442,FL,CLAY COUNTY,30.006186,-81.698914,Residential,Wood
235695,FL,CLAY COUNTY,30.006186,-81.698914,Residential,Wood
481294,FL,CLAY COUNTY,30.006186,-81.698914,Residential,Wood
292670,FL,CLAY COUNTY,30.006186,-81.698914,Residential,Wood
127739,FL,CLAY COUNTY,30.006186,-81.698914,Residential,Wood
869056,FL,CLAY COUNTY,29.9994,-81.71524,Residential,Wood
514471,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
903764,FL,CLAY COUNTY,29.99534,-81.684074,Residential,Wood
192068,FL,CLAY COUNTY,29.98799,-81.69477,Residential,Wood
109815,FL,CLAY COUNTY,30.00593,-81.698545,Residential,Wood
495339,FL,CLAY COUNTY,29.98272,-81.676795,Residential,Masonry
752123,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
412775,FL,CLAY COUNTY,30.00228,-81.699965,Residential,Wood
249958,FL,CLAY COUNTY,29.96809,-81.65459,Residential,Wood
754919,FL,CLAY COUNTY,29.989515,-81.687235,Residential,Wood
829637,FL,CLAY COUNTY,29.989515,-81.687235,Residential,Wood
931429,FL,CLAY COUNTY,29.989515,-81.687235,Residential,Wood
565451,FL,CLAY COUNTY,30.00414,-81.700315,Residential,Wood
722334,FL,CLAY COUNTY,30.00421,-81.684,Residential,Wood
630898,FL,CLAY COUNTY,29.9817,-81.81295,Residential,Wood
166536,FL,CLAY COUNTY,29.9817,-81.81295,Residential,Wood
469135,FL,CLAY COUNTY,29.98782,-81.69136,Residential,Masonry
678786,FL,CLAY COUNTY,30.031706,-81.708595,Residential,Masonry
284473,FL,CLAY COUNTY,29.839308,-81.661644,Residential,Masonry
499389,FL,CLAY COUNTY,29.986181,-81.695091,Residential,Masonry
541241,FL,CLAY COUNTY,29.98,-81.69609,Commercial,Reinforced Masonry
797586,FL,CLAY COUNTY,29.99665,-81.68111,Commercial,Reinforced Masonry
812823,FL,CLAY COUNTY,30.026604,-81.70697,Residential,Wood
598244,FL,CLAY COUNTY,29.981771,-81.675621,Residential,Masonry
788363,FL,CLAY COUNTY,29.997179,-81.736023,Residential,Wood
737787,FL,CLAY COUNTY,30.005896,-81.730293,Residential,Wood
445518,FL,CLAY COUNTY,29.892822,-81.670074,Residential,Wood
758347,FL,CLAY COUNTY,29.983204,-81.755379,Residential,Masonry
195133,FL,CLAY COUNTY,29.983204,-81.755379,Residential,Wood
991548,FL,CLAY COUNTY,29.99319,-81.68175,Residential,Masonry
696936,FL,CLAY COUNTY,30.00093,-81.679455,Residential,Wood
393176,FL,CLAY COUNTY,30.00135,-81.742455,Residential,Wood
626647,FL,CLAY COUNTY,30.00135,-81.742455,Residential,Wood
915781,FL,CLAY COUNTY,30.00135,-81.742455,Residential,Masonry
827852,FL,CLAY COUNTY,30.00135,-81.742455,Residential,Wood
800420,FL,CLAY COUNTY,29.983204,-81.755379,Residential,Wood
728346,FL,CLAY COUNTY,29.983204,-81.755379,Commercial,Reinforced Masonry
928642,FL,CLAY COUNTY,29.983204,-81.755379,Residential,Wood
442061,FL,CLAY COUNTY,29.983204,-81.755379,Residential,Wood
810826,FL,CLAY COUNTY,29.983204,-81.755379,Residential,Wood
336798,FL,CLAY COUNTY,29.983204,-81.755379,Residential,Wood
830917,FL,CLAY COUNTY,29.983204,-81.755379,Residential,Wood
984232,FL,CLAY COUNTY,29.99146,-81.67947,Residential,Masonry
203667,FL,CLAY COUNTY,30.024078,-81.714539,Residential,Wood
395084,FL,CLAY COUNTY,30.024078,-81.714539,Residential,Wood
869242,FL,CLAY COUNTY,30.024033,-81.714836,Residential,Wood
704537,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
692691,FL,CLAY COUNTY,29.99501,-81.69407,Residential,Wood
580758,FL,CLAY COUNTY,30.046192,-81.795082,Residential,Wood
515486,FL,CLAY COUNTY,30.046192,-81.795082,Residential,Wood
884079,FL,CLAY COUNTY,30.046192,-81.795082,Residential,Wood
491095,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Masonry
579764,FL,CLAY COUNTY,29.9826,-81.7238,Residential,Wood
263177,FL,CLAY COUNTY,29.992,-81.68678,Residential,Wood
710739,FL,CLAY COUNTY,29.99327,-81.724515,Residential,Wood
156129,FL,CLAY COUNTY,29.992,-81.68678,Residential,Wood
178800,FL,BRADFORD COUNTY,29.869762,-82.202431,Residential,Wood
406073,FL,BRADFORD COUNTY,29.86261,-82.135475,Residential,Wood
450089,FL,BRADFORD COUNTY,29.864408,-82.135536,Residential,Wood
894206,FL,NASSAU COUNTY,30.687055,-81.9198,Residential,Wood
472007,FL,NASSAU COUNTY,30.7595,-81.9576,Residential,Masonry
500287,FL,NASSAU COUNTY,30.69844,-81.908635,Residential,Masonry
365732,FL,NASSAU COUNTY,30.690071,-81.919342,Residential,Wood
365145,FL,NASSAU COUNTY,30.690071,-81.919342,Residential,Wood
237841,FL,NASSAU COUNTY,30.690071,-81.919342,Residential,Wood
497561,FL,NASSAU COUNTY,30.692579,-81.923798,Residential,Wood
245837,FL,NASSAU COUNTY,30.692579,-81.923798,Residential,Masonry
732075,FL,NASSAU COUNTY,30.687847,-81.928619,Residential,Wood
657625,FL,NASSAU COUNTY,30.698156,-81.917923,Commercial,Reinforced Masonry
790556,FL,NASSAU COUNTY,30.692579,-81.923798,Residential,Wood
207626,FL,NASSAU COUNTY,30.68227,-82.010965,Residential,Wood
902008,FL,NASSAU COUNTY,30.68758,-81.90805,Residential,Masonry
135936,FL,HAMILTON COUNTY,30.51869,-82.95187,Residential,Wood
997759,FL,HAMILTON COUNTY,30.51869,-82.95187,Residential,Wood
470224,FL,HAMILTON COUNTY,30.51869,-82.95187,Residential,Wood
367761,FL,HAMILTON COUNTY,30.505239,-82.95285,Residential,Wood
285586,FL,HAMILTON COUNTY,30.505239,-82.95285,Residential,Wood
122164,FL,HAMILTON COUNTY,30.496,-82.9527,Residential,Wood
152913,FL,HAMILTON COUNTY,30.465835,-83.006185,Residential,Wood
655156,FL,HAMILTON COUNTY,30.523375,-82.95845,Residential,Wood
989201,FL,HAMILTON COUNTY,30.523375,-82.95845,Residential,Wood
207985,FL,HAMILTON COUNTY,30.52085,-82.950535,Residential,Wood
